IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
104.25.254.189,170,197,184,0
172.67.49.151,176,193,184,0
104.24.51.242,168,195,184,0
104.25.238.218,168,217,184,0
172.67.62.154,171,205,184,0
104.27.37.116,175,195,184,0
104.25.190.202,167,225,184,0
104.25.101.143,176,199,184,0
104.24.187.57,174,199,184,0
104.25.129.197,174,194,184,0
104.25.20.95,176,195,184,0
104.25.180.108,172,196,184,0
104.24.93.212,169,204,184,0
104.23.136.60,171,198,184,0
104.22.26.25,168,226,184,0
104.25.82.67,174,199,185,0
104.27.65.179,175,191,185,0
104.25.246.206,166,202,185,0
104.22.75.41,168,239,185,0
104.22.19.121,170,217,185,0
104.23.103.182,172,204,185,0
172.67.60.231,169,193,185,0
104.24.240.79,165,203,185,0
104.25.171.99,167,213,185,0
104.25.224.153,176,203,185,0
104.25.60.161,176,214,185,0
104.25.3.246,175,208,185,0
104.22.53.142,170,265,185,0
104.22.56.253,171,201,185,0
104.24.95.167,174,197,185,0
104.24.87.11,176,203,185,0
104.25.191.154,175,203,185,0
172.67.27.38,175,199,185,0
104.24.0.102,176,199,185,0
104.22.6.51,175,197,185,0
104.24.210.127,166,202,185,0
104.20.1.6,167,209,185,0
104.25.223.153,167,203,185,0
172.67.8.198,175,205,185,0
104.24.237.132,164,225,185,0
172.67.2.16,175,208,185,0
104.25.47.213,179,199,185,0
162.159.128.60,168,237,185,0
104.25.197.191,173,197,185,0
104.24.25.76,170,216,185,0
104.24.152.169,171,221,185,0
104.23.96.163,168,202,185,0
104.27.115.199,170,222,186,0
104.22.20.236,174,201,186,0
172.67.92.68,174,206,186,0
104.24.226.223,169,205,186,0
172.64.69.124,176,231,186,0
104.22.31.67,171,225,186,0
104.22.68.72,175,204,186,0
162.159.136.73,172,231,186,0
104.27.35.105,174,201,186,0
104.25.12.231,172,202,186,0
172.67.25.111,174,205,186,0
104.22.36.22,173,211,186,0
104.24.190.13,170,231,186,0
104.23.108.203,174,211,186,0
104.25.48.36,175,196,186,0
104.27.93.167,177,201,186,0
162.159.196.66,170,198,186,0
104.25.226.213,167,215,186,0
104.26.4.205,175,198,186,0
104.22.70.84,176,215,186,0
104.22.4.83,175,205,186,0
172.67.17.75,164,241,186,0
104.23.113.192,171,202,186,0
104.24.94.122,169,217,186,0
104.24.234.16,174,203,186,0
162.159.130.108,175,204,186,0
198.41.211.125,177,205,186,0
172.67.67.245,165,246,186,0
172.67.38.211,175,196,186,0
104.27.43.91,171,199,186,0
104.25.116.51,173,208,186,0
104.24.169.186,171,209,186,0
141.101.113.96,175,199,186,0
104.24.172.47,176,197,186,0
104.27.87.249,176,215,186,0
172.67.82.29,173,202,186,0
104.27.101.85,174,201,186,0
104.25.189.10,174,196,186,0
104.24.142.193,174,202,186,0
104.22.67.111,178,196,186,0
172.67.81.240,175,212,187,0
104.27.19.36,177,211,187,0
104.27.90.107,176,201,187,0
104.25.236.238,179,191,187,0
104.20.14.209,176,215,187,0
172.67.34.219,178,200,187,0
172.67.40.53,167,214,187,0
104.22.28.11,177,194,187,0
104.25.73.47,177,205,187,0
104.25.122.143,176,208,187,0
104.27.31.15,176,201,187,0
104.24.27.81,179,203,187,0
104.25.156.20,171,210,187,0
104.25.242.81,174,214,187,0
104.24.191.208,174,196,187,0
172.67.41.115,177,202,187,0
104.24.14.118,177,208,187,0
172.67.116.66,172,213,187,0
104.23.132.177,168,223,187,0
104.24.141.144,178,196,187,0
104.25.37.219,177,195,187,0
104.27.117.119,175,197,187,0
104.25.177.196,177,199,187,0
104.25.49.85,175,203,187,0
104.24.70.215,170,222,187,0
104.25.225.39,176,201,187,0
104.25.119.153,177,205,187,0
104.23.105.243,174,200,188,0
172.67.21.55,174,203,188,0
172.67.31.205,170,224,188,0
104.24.52.235,175,220,188,0
172.67.7.252,169,206,188,0
104.24.60.70,167,222,188,0
172.67.91.159,175,205,188,0
104.26.3.70,176,211,188,0
104.24.206.103,176,207,188,0
104.24.197.143,175,196,188,0
104.25.162.158,178,197,188,0
104.24.165.157,171,200,188,0
104.24.21.230,175,220,188,0
104.20.5.94,175,212,188,0
104.25.28.12,172,204,188,0
